table_name,column_name,ordinal_position,data_type,nullable,key_type,references,description,allowed_values_or_range,generation_notes
patients,patient_id,1,string,No,PK,,Patient surrogate identifier,PT + 6 digits,Sequential synthetic ID
patients,mrn,2,string,No,,,Medical record number,MRN + 6 digits,Derived from patient index
patients,first_name,3,string,No,,,Patient first name,Free text,Synthetic name from faker
patients,last_name,4,string,No,,,Patient last name,Free text,Synthetic surname from faker
patients,sex,5,string,No,,,Recorded sex,"Female|Male",Diagnosis-weighted assignment
patients,dob,6,date,No,,,Date of birth,Calendar date,Generated by helper utility
patients,age,7,integer,No,,,Age in years,Non-negative integer,Computed from dob
patients,race,8,string,No,,,Race category,"White|Black|Asian|Hispanic|Other",Weighted from config
patients,zip_code,9,string,No,,,ZIP code,5-digit text,Synthetic ZIP utility
patients,insurance_type,10,string,No,,,Insurance category,"Commercial|Medicare|Medicaid|Self-Pay",Age-dependent weighting
patients,diagnosis_group,11,string,No,,,Broad diagnosis grouping,"malignant|ida",Weighted from config
patients,primary_diagnosis,12,string,No,,,Primary diagnosis label,"Malignant diagnosis list or Iron Deficiency Anemia",Derived from diagnosis_group
patients,stage,13,string,No,,,Stage or risk category,"I|II|III|IV|Low Risk|Intermediate Risk|High Risk|N/A",Diagnosis-specific staging logic
patients,comorbidity_score,14,integer,No,,,Comorbidity burden score,IDA clipped 0..6; malignant clipped 0..8,Poisson-based by age and diagnosis
patients,smoking_status,15,string,No,,,Smoking status,"Never|Former|Current",Lung cancer uses different weights
patients,active_treatment_flag,16,integer,No,,,Active treatment indicator,0|1,Group-specific probability
patients,deceased_flag,17,integer,No,,,Mortality indicator,0|1,Low probability flag
providers,provider_id,1,string,No,PK,,Provider surrogate identifier,PR + 4 digits,Sequential synthetic ID
providers,provider_name,2,string,No,,,Provider display name,Dr. <First> <Last>,Synthetic provider name
providers,years_experience,3,integer,No,,,Years in practice,1..35,Normal distribution clipped to bounds
providers,fte,4,float,No,,,Full-time equivalent,1.0|0.8|0.6,Weighted assignment 70/20/10
appointments,appointment_id,1,string,No,AK,,Appointment identifier,APPT- + 10 hex chars,UUID-derived token
appointments,mrn,2,string,No,,,Patient MRN snapshot,MRN + 6 digits,Copied from patient dimension
appointments,provider_id,3,string,No,FK,providers.provider_id,Provider identifier,Matches providers.provider_id,Random provider assignment per visit
appointments,appointment_date,4,date,No,FK,date_dim.date,Scheduled visit date,Within configured date range,Derived from scheduled visit datetime at generation time
appointments,visit_type,5,string,No,,,Visit category,"New Patient|Follow-up|Infusion|Lab Review|Urgent Visit",Diagnosis and treatment weighted logic
appointments,status,6,string,No,,,Appointment status,"Completed|No Show|Cancelled",Infusion has higher completion probability
appointments,new_patient_flag,7,integer,No,,,New patient indicator,0|1,1 when visit_type is New Patient
appointments,infusion_flag,8,integer,No,,,Infusion indicator,0|1,1 when visit_type is Infusion
appointments,urgent_flag,9,integer,No,,,Urgent visit indicator,0|1,1 when visit_type is Urgent Visit
appointments,room,10,string,No,,,Room/state label,"Workflow state or physical room label",Completed visits resolve exam/infusion room names
appointments,room_type,11,string,No,,,Normalized room grouping,"Front Desk|Lab|Waiting Room|Exam Room|Infusion Room|Other|Status",Mapped from room label
appointments,room_timestamp,12,datetime,No,,,Event start timestamp,Datetime,Increments through generated room flow
appointments,duration,13,float,Yes,,,Minutes from previous room event timestamp within appointment,Null for first room event,Computed with per-appointment timestamp diff by room_timestamp
treatments,treatment_id,1,string,No,PK,,Treatment-line identifier,TRT- + 10 hex chars,UUID-derived token
treatments,patient_id,2,string,No,FK,patients.patient_id,Patient identifier,Matches patients.patient_id,Inherited from patient row
treatments,line_of_therapy,3,integer,No,,,Line index,Positive integer starting at 1,Number of lines based on diagnosis stage and active status
treatments,regimen_name,4,string,No,,,Regimen/protocol name,"Diagnosis-specific regimen list",Selected from regimen map
treatments,treatment_category,5,string,No,,,Regimen class,"Chemo|Targeted Therapy|Immunotherapy|Hormonal Therapy|Supportive Therapy|Observation",Derived from regimen_name
treatments,route,6,string,No,,,Administration route,"IV|Oral|Injection|None",Derived from treatment category
treatments,frequency,7,string,No,,,Administration cadence,"Daily|Q1W|Q2W|Q3W|Q4W|Q3D|Q7D|Monthly|Q3M|Observation",Derived from category/route/regimen logic
treatments,intent,8,string,No,,,Treatment intent,"Curative|Maintenance|Palliative|Supportive",Stage/risk weighted for non-Venofer
treatments,start_date,9,date,No,FK,date_dim.date,Treatment line start date,On/after first appointment date,Line start offsets by line number
treatments,end_date,10,date,No,FK,date_dim.date,Treatment line end date,>= start_date and clipped to END_DATE,Duration sampled by category
treatments,active_flag,11,integer,No,,,Active line at END_DATE indicator,0|1,1 when END_DATE falls in line window
date_dim,date,1,date,No,PK,,Calendar date key,Daily date from START_DATE to END_DATE,Generated with daily date_range
date_dim,year,2,integer,No,,,Calendar year,4-digit year,Derived from date
date_dim,month,3,integer,No,,,Calendar month number,1..12,Derived from date
date_dim,month_name,4,string,No,,,Calendar month name,January..December,Derived from date
date_dim,quarter,5,string,No,,,Quarter label,Q1..Q4,Derived from date quarter
date_dim,day_of_week,6,string,No,,,Day name,Monday..Sunday,Derived from date
date_dim,week_of_year,7,integer,No,,,ISO week number,1..53,Derived from ISO calendar week
date_dim,is_weekend,8,boolean,No,,,Weekend indicator,True|False,True for Saturday/Sunday
